period,symbol,avg_neg,avg_neu,avg_pos,avg_compound,mention_count,market_avg_neg,market_avg_neu,market_avg_pos,market_avg_compound
2024-05-01,NEAR,0.0152,0.7646,0.2202,0.8690599999999999,5,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,NEO,0.101,0.6965,0.2025,-0.03210000000000002,2,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,QNT,0.0,0.785,0.215,0.802,1,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,RUNE,0.116,0.75,0.134,0.2023,1,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,SHIB,0.029573770491803278,0.807639344262295,0.1628688524590164,0.5225852459016394,61,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,SOL,0.053689655172413794,0.7721379310344827,0.17420689655172417,0.4863551724137931,58,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,STX,0.0815,0.821,0.0975,-0.13040000000000002,2,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,TAO,0.0,0.421,0.579,0.875,1,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,THETA,0.012666666666666666,0.8863333333333333,0.10066666666666667,0.5590666666666667,3,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,TRX,0.03125,0.757,0.21175,0.8305750000000001,4,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,UNI,0.09233333333333334,0.7408333333333333,0.167,0.36715000000000003,6,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,VET,0.0605,0.839,0.101,0.64615,2,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,XLM,0.056249999999999994,0.8095,0.13424999999999998,0.7327250000000001,4,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,XMR,0.0,0.884,0.116,0.7115,1,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,XRP,0.07022448979591836,0.798734693877551,0.1311020408163265,0.3972040816326531,49,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
2024-05-01,XTZ,0.0,0.884,0.116,0.7115,1,0.05594984802431611,0.7982446808510638,0.1458495440729483,0.3865676291793313
