date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score
2022-08-10,Custom_Risk_8_positive,4,ETC,0.4050692939833368,0.9363755678515948,BTC,0.35350723790971583,0.8171825056948796,ETH,0.23222777592592198,0.5368276953683223,BNB,0.009195692181025412,0.021257156777107752
2022-08-17,Custom_Risk_8_positive,4,BTC,0.3879505398453021,0.7085121617267981,ETC,0.3389953551175648,0.619105548778109,ETH,0.25557185807909083,0.4667496266827113,DCR,0.017482246958042385,0.03192774158536679
2022-08-24,Custom_Risk_8_positive,4,BTC,0.431158205328102,0.8440694793649477,ETC,0.29966331660323736,0.5866446619926641,ETH,0.19701926637528241,0.3857005329811582,INJ,0.0721592116933782,0.14126459265472077
2022-08-31,Custom_Risk_8_positive,4,BTC,0.45505118737947997,0.8370223884765257,ETH,0.26602171554921683,0.48932106521445207,ETC,0.2003011499315476,0.3684344785380928,INJ,0.07862594713975557,0.1446247804563249
2022-09-07,Custom_Risk_8_positive,4,BTC,0.5385188937314849,0.959767619677892,ETH,0.2588860781304638,0.46139602132309193,ETC,0.15981780458853068,0.2848330034053783,BNB,0.04277722354952063,0.07623909671593404
2022-09-14,Custom_Risk_8_positive,4,BTC,0.5188356196866356,0.9185658348784933,ETH,0.22735559203832972,0.40251877722103485,ETC,0.2262742290595443,0.40060429207443937,BNB,0.027534559215490268,0.048748205431739786
2022-09-21,Custom_Risk_8_positive,4,BTC,0.487546422133985,0.9498751094628171,ETH,0.2667849007652023,0.5197706829806902,ETC,0.23549566033609437,0.4588105993285133,INJ,0.010173016764718506,-0.019819846837679185
2022-09-28,Custom_Risk_8_positive,4,BTC,0.6858135701225843,1.2082686554728619,ETH,0.12388746606413054,0.21826535456930507,BNB,0.11510179384029984,0.20278672768326117,ETC,0.07519716997298555,0.13248262708243472
2022-10-05,Custom_Risk_8_positive,4,BTC,0.6399380926137245,1.1827206909971344,INJ,0.13838881833924174,0.25576742616455184,BNB,0.11817292214210967,0.21840481406914927,ETH,0.10350016690492422,0.19128692342745127
2022-10-12,Custom_Risk_8_positive,4,BTC,0.6070786779686009,1.1526972818153556,INJ,0.21208771047905764,0.40270386071489794,ETH,0.09319479358327173,0.1769546339565836,BNB,0.08763881796906965,0.16640516447142012
2022-10-19,Custom_Risk_8_positive,4,BTC,0.5932984491348205,1.1530748343019481,ETH,0.1776386192599497,0.34524044646920665,INJ,0.17451342758928168,0.3391666401528876,BNB,0.05454950401594804,0.10601689654872076
2022-10-26,Custom_Risk_8_positive,4,BTC,0.49521983735288844,1.0383545708620239,INJ,0.23509381503750504,0.49293408505288494,ETH,0.22032716689811252,0.46197204469155895,AAVE,0.0493591807114941,0.10349409906465978
2022-11-02,Custom_Risk_8_positive,4,BTC,0.49970412765553746,1.0196703955113908,ETH,0.35495046276476955,0.7242935543726302,INJ,0.13467860378493904,0.27481819258250206,DCR,0.010666805794753768,0.021766132160263817
2022-11-09,Custom_Risk_8_positive,4,BTC,0.4203315233870476,0.9744018496343249,INJ,0.268463550059072,0.6223453754527939,ETH,0.2671649948465124,0.6193350977777472,BNB,0.0440399317073679,0.10209224986895421
2022-11-16,Custom_Risk_8_positive,4,BTC,0.5259915826180439,1.16012408003994,ETH,0.24523068669361803,0.5408794250697897,BNB,0.22201471520661198,0.48967440876603174,BCH,0.006763015481726228,0.014916468957509817
2022-11-23,Custom_Risk_8_positive,4,BTC,0.5162478808856693,1.1122524105742366,ETH,0.2461414397687936,0.530309992276142,BNB,0.14294410612890251,0.3079720663385386,BCH,0.09466657321663438,0.2039584629003499
2022-11-30,Custom_Risk_8_positive,4,BTC,0.4554721389734578,1.0157915781045794,ETH,0.2271896344545266,0.5066771325062639,BNB,0.16107873129612524,0.35923694263966716,BCH,0.15625949527589028,0.34848910771548053
2022-12-07,Custom_Risk_8_positive,4,BTC,0.5187709914622586,1.0648072811983167,ETH,0.24660100196898213,0.5061627322438207,BNB,0.12073972915070305,0.2478252347287127,BCH,0.11388827741805624,0.23376223619608966
2022-12-14,Custom_Risk_8_positive,4,BTC,0.5755526783875632,1.1525595760026281,ETH,0.22768646609918636,0.45594821583317563,BNB,0.11543907443202527,0.23116982281145418,BCH,0.08132178108122504,0.1628490337067652
2022-12-21,Custom_Risk_8_positive,4,BTC,0.6483625081480567,1.233084331549751,ETH,0.30042759731730656,0.5713664167214834,BCH,0.04700199908583246,0.08939046890573887,BNB,0.004207895448804231,0.008002760618501314
