date,strategy,total_assets,asset_1_symbol,asset_1_weight,asset_1_score,asset_2_symbol,asset_2_weight,asset_2_score,asset_3_symbol,asset_3_weight,asset_3_score,asset_4_symbol,asset_4_weight,asset_4_score,asset_5_symbol,asset_5_weight,asset_5_score,asset_6_symbol,asset_6_weight,asset_6_score,asset_7_symbol,asset_7_weight,asset_7_score
2020-09-30,Custom_Risk_2_positive,7,BTC,0.2450882644119365,1.159532728437939,ETH,0.11793580548022577,0.13047951364095167,BNB,0.09851908277286402,-0.06761966808447989,BCH,0.16694399394254758,-0.10826155215309008,ETC,0.17904734946962228,-0.13839011230176526,DCR,0.12148730059747334,-0.45305432964718684,GNO,0.07097820332533043,-0.522686579892369
2020-10-07,Custom_Risk_2_positive,7,BTC,0.22957164811528993,0.6778552952860006,BNB,0.09686501545266382,0.4564417649144906,ETH,0.13191383306020535,0.33381114218869473,ETC,0.14804749419291965,-0.029662702693603504,BCH,0.18388257484291906,-0.19227328964293364,DCR,0.14361416978461067,-0.602924139217686,GNO,0.06610526455139154,-0.6432480708349625
2020-10-14,Custom_Risk_2_positive,7,BTC,0.2437682947119413,0.999251764138848,ETH,0.14195865450719417,0.26493510628726147,BNB,0.0996409604967552,0.2345131261983946,ETC,0.18496909083678884,0.1442968582727008,BCH,0.13685284233330075,-0.04904195207594959,DCR,0.12013999597696116,-0.23632992107040734,GNO,0.0726701611370587,-0.5626820274500436
2020-10-21,Custom_Risk_2_positive,7,BTC,0.2015487745040868,0.8180916259121138,BNB,0.14353140408355292,0.24975879686440633,ETH,0.15865455109882967,0.2263660111816176,BCH,0.1255537226279513,0.1864719983946087,ETC,0.19912737107093395,-0.06754101370236251,DCR,0.12219471784795502,-0.39852387598175243,AAVE,0.04938945876669023,-0.4286969241943691
2020-10-28,Custom_Risk_2_positive,7,BTC,0.22027095771077038,0.8518667022386867,GNO,0.06107595901911974,0.32246309693493413,ETH,0.17086812725869724,0.09139000849290604,INJ,0.03467621343049908,0.014144413712325221,BCH,0.16442412509835128,-0.05497578814013495,BNB,0.2057426158350704,-0.16665174357911272,DCR,0.142942001647492,-0.22576357289204665
2020-11-04,Custom_Risk_2_positive,7,BTC,0.22819528696469843,1.0418692113176256,ETH,0.14674845908674877,0.20697965221924483,BCH,0.15178285570718658,0.20605713700307615,BNB,0.17627589704602184,0.05104647583277286,INJ,0.026623176356742124,0.008704718861803865,ETC,0.15752959758823531,-0.04330719744584251,DCR,0.11284472725036698,-0.24765648549772754
2020-11-11,Custom_Risk_2_positive,7,BTC,0.1665152796767464,1.1356466368528295,ETH,0.1567281938825279,0.36751324958425347,INJ,0.06787219697142223,0.07437319060820152,DCR,0.11798862775006823,-0.054689575080590885,BCH,0.1725631279972908,-0.06397570942589859,GNO,0.11375614694780076,-0.09641120636579187,BNB,0.20457642677414356,-0.131916221700214
2020-11-18,Custom_Risk_2_positive,7,BTC,0.19001354470066986,0.9480966850300455,ETH,0.18643486809128906,0.23878915051595784,GNO,0.1743798146121938,-0.0165175663189758,DCR,0.1168017117455297,-0.031154428468993245,INJ,0.06765773596339532,-0.11149365866479599,BCH,0.20899975880708518,-0.16597219452960052,AAVE,0.055712566079836885,-0.20098564103239608
2020-11-25,Custom_Risk_2_positive,7,BTC,0.26986211303478175,0.932779020232516,AAVE,0.08557437222404848,0.3716661560557431,INJ,0.07059931792576013,0.27351575564711567,ETH,0.1616737600808622,0.06841652417946381,DCR,0.1001217648724322,-0.0384374565135896,ETC,0.12871982422921036,-0.31036819628624884,BNB,0.18344884763290478,-0.37148385182765425
2020-12-02,Custom_Risk_2_positive,7,BTC,0.20802493161111688,0.9242343926269089,ETH,0.1520270910466421,0.3171327818148543,ETC,0.12403948342864636,0.04791191125467892,INJ,0.11030568370647736,0.041269264263282465,DCR,0.14143630150171424,-0.011948108872647162,BCH,0.09793682869486466,-0.2570182691665236,BNB,0.1662296800105384,-0.3112261443160155
2020-12-09,Custom_Risk_2_positive,7,BTC,0.19278238428740374,0.8701913462131613,ETH,0.15106995840603674,0.360268534461608,DCR,0.1005463341037565,0.16411276751058143,AAVE,0.09356087081055886,0.11314330345346438,BCH,0.13165246395061544,-0.15044024050672622,BNB,0.19326869096340726,-0.15488902625557494,ETC,0.1371192974782214,-0.2649470788637125
2020-12-16,Custom_Risk_2_positive,7,BTC,0.20707995870065318,0.7650545743901334,INJ,0.06998515777869421,0.16583043298079414,ETH,0.15909275168461753,0.13444417902469194,AAVE,0.09667524050912436,-0.0607295875911989,DCR,0.0804129392143368,-0.1076185927334299,BNB,0.2276860576770255,-0.16238934464730811,ETC,0.15906789443554836,-0.19458905063684068
