date,multi_factor_return
2023-05-10,-0.005591320524854033
2023-05-17,-0.03225882087811909
2023-05-24,0.057870215756037284
2023-05-31,-0.05516272358261772
2023-06-07,-0.10897811980715161
2023-06-14,0.2016092220855561
2023-06-21,0.13807184608098913
2023-06-28,0.1248526000590926
2023-07-05,0.022142874369231114
2023-07-12,-0.07379605458269758
2023-07-19,-0.017414932037085298
2023-07-26,-0.041333772658586
2023-08-02,0.020515434836767016
2023-08-09,-0.0818754289420008
2023-08-16,-0.046067796623957144
2023-08-23,0.04326263999567575
2023-08-30,-0.051994591180895736
2023-09-06,0.0046625950261600935
2023-09-13,0.04209725305567686
2023-09-20,-0.00228988080281233
2023-09-27,0.051143462264408815
2023-10-04,-0.05603313472228497
2023-10-11,0.032125183466706383
2023-10-18,0.28788324779215574
