strategy_name,strategy_rank,date,symbol,weight,factor_value,return,total_assets_weekly,top_asset_weekly,top_weight_weekly,weight_concentration_weekly,avg_factor_value_weekly,weekly_return_weekly,annual_return,sharpe_ratio,max_drawdown,win_rate,volatility
strev_weekly,3,2022-09-07,BNB,0.012035977634413275,-0.0008266711632387,0.0014468575326922,5,BTC,0.557282924251537,0.40124385944263247,-0.0025876312257287395,0.018337543588989088,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2022-09-14,AAVE,0.4527551780371836,-0.0434871260679787,-0.1427922477729515,5,AAVE,0.4527551780371836,0.3454395749922902,-0.01670768418210224,-0.15865906230188181,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2022-09-14,DCR,0.34474322707929206,-0.0331125802736766,-0.14809538347124,5,AAVE,0.4527551780371836,0.3454395749922902,-0.01670768418210224,-0.15865906230188181,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2022-09-14,GNO,0.13737113044630153,-0.0131944944146579,-0.2201895358530572,5,AAVE,0.4527551780371836,0.3454395749922902,-0.01670768418210224,-0.15865906230188181,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2022-09-14,ETH,0.05006687438106466,0.0048089223131098,-0.2373689429513252,5,AAVE,0.4527551780371836,0.3454395749922902,-0.01670768418210224,-0.15865906230188181,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2022-09-14,BNB,0.01506359005615809,0.0014468575326922,-0.0545849841460506,5,AAVE,0.4527551780371836,0.3454395749922902,-0.01670768418210224,-0.15865906230188181,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2022-09-21,ETC,0.27756185634603775,-0.2875541574110982,-0.0103457775350647,5,ETC,0.27756185634603775,0.21414091749070133,-0.2072000534919344,0.02890834380829963,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2022-09-21,ETH,0.22912054215330133,-0.2373689429513252,0.0708580740655562,5,ETC,0.27756185634603775,0.21414091749070133,-0.2072000534919344,0.02890834380829963,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2022-09-21,GNO,0.21253810715027488,-0.2201895358530572,-0.0040820704275921,5,ETC,0.27756185634603775,0.21414091749070133,-0.2072000534919344,0.02890834380829963,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
strev_weekly,3,2022-09-21,DCR,0.1429491749402515,-0.14809538347124,0.0469784715404963,5,ETC,0.27756185634603775,0.21414091749070133,-0.2072000534919344,0.02890834380829963,2.0514376036925235,2.1243336130522072,0.8244402406969253,0.5543859649122806,0.9656852346958121
